"","X1","X","abr","precinct","address","pollname","abrprecincts","longitude","latitude","geocode_rating","clean_address"
"1194",1194,3600,"PAL","1350","555 U S Hwy 1, North Palm Beach, FL 33408","Faith Lutheran Church","PAL1350",-80.05608,26.73458,"25","500 1 US Hwy West Palm Beach FL 33407"
"1195",1195,3601,"PAL","1352","5430 Northlake Blvd, Palm Beach Gardens, FL 33418","Northlake Nazarene Church","PAL1352",-80.12158,26.80921,"0","5430 Northlake Blvd Palm Beach Gardens FL 33418"
"1196",1196,3602,"PAL","1354","8330 N Military Trl, Palm Beach Gardens, FL 33410","Grove Park Elementary","PAL1354",-80.10618,26.81073,"5","NA Military Trl Palm Beach Gardens FL 33410"
"1197",1197,3603,"PAL","1356","3000 Casa Rio Ct, Riviera Beach, FL 33418","Casa Rio Clubhouse","PAL1356",-80.1147,26.79414,"0","3000 Casa Rio Ct Riviera Beach FL 33418"
"1198",1198,3604,"PAL","1358","7071 Garden Rd, Riviera Beach, FL 33404","RB Prep Achievement Academy","PAL1358",-80.09224,26.78069,"0","7071 Garden Rd Riviera Beach FL 33404"
"1199",1199,3605,"PAL","1360","9463 Roan Ln, Palm Beach Gardens, FL 33403","Garden Lodge 366 F&AM","PAL1360",-80.09608,26.80904,"5","NA Roan Ln Palm Beach Gardens FL 33403"
"1200",1200,3606,"PAL","1362","8330 N Military Trl, Palm Beach Gardens, FL 33410","Grove Park Elementary","PAL1362",-80.10618,26.81073,"5","NA Military Trl Palm Beach Gardens FL 33410"
"1201",1201,3607,"PAL","1364","7071 Garden Rd, Riviera Beach, FL 33404","RB Prep Achievement Academy","PAL1364",-80.09224,26.78069,"0","7071 Garden Rd Riviera Beach FL 33404"
"1202",1202,3608,"PAL","1366","4049 70th Ct N, Riviera Beach, FL 33404","Palm Lake Estates - The Pines","PAL1366",-80.10069,26.78014,"0","4049 70th Ct Riviera Beach FL 33404"
"1203",1203,3609,"PAL","1368","7071 Garden Rd, Riviera Beach, FL 33404","RB Prep Achievement Academy","PAL1368",-80.09224,26.78069,"0","7071 Garden Rd Riviera Beach FL 33404"
"1204",1204,3610,"PAL","1370","4049 70th Ct N, Riviera Beach, FL 33404","Palm Lake Estates - The Pines","PAL1370",-80.10069,26.78014,"0","4049 70th Ct Riviera Beach FL 33404"
"1205",1205,3611,"PAL","1372","9463 Roan Ln, Palm Beach Gardens, FL 33403","Garden Lodge 366 F&AM","PAL1372",-80.09608,26.80904,"5","NA Roan Ln Palm Beach Gardens FL 33403"
"1206",1206,3612,"PAL","1374","9482 MacArthur Blvd, Palm Beach Gardens, FL 33403","Pew Leadership Center","PAL1374",-80.0872,26.81284,"10","9482 Mac Arthur Blvd Palm Beach Gardens FL 33403"
"1207",1207,3613,"PAL","1376","535 Park Ave, Lake Park, FL 33403","Lake Park Town Hall","PAL1376",-80.06326,26.79859,"0","535 Park Ave Lake Park FL 33403"
"1208",1208,3614,"PAL","1378","1000 Park Ave, Lake Park, FL 33403","PBC Fire Rescue #68","PAL1378",-80.07258,26.79874,"0","1000 Park Ave Lake Park FL 33403"
"1209",1209,3615,"PAL","1380","501 U S Hwy 1, North Palm Beach, FL 33408","NPB Council Chambers","PAL1380",-80.05496,26.73456,"25","500 1 US Hwy West Palm Beach FL 33407"
"1210",1210,3616,"PAL","1382","535 Park Ave, Lake Park, FL 33403","Lake Park Town Hall","PAL1382",-80.06326,26.79859,"0","535 Park Ave Lake Park FL 33403"
"1211",1211,3617,"PAL","1384","900 E Blue Heron Blvd, Riviera Beach, FL 33404","Phil Foster Park Marine Center","PAL1384",-80.04216,26.78348,"0","900 Blue Heron Blvd Riviera Beach FL 33404"
"1212",1212,3618,"PAL","1386","900 E Blue Heron Blvd, Riviera Beach, FL 33404","Phil Foster Park Marine Center","PAL1386",-80.04216,26.78348,"0","900 Blue Heron Blvd Riviera Beach FL 33404"
"1213",1213,3619,"PAL","1388","247 Edwards Ln, Palm Beach Shores, FL 33404","Palm Beach Shores Town Hall","PAL1388",-80.03611,26.77847,"0","247 Edwards Ln Palm Beach Shores FL 33404"
"1214",1214,3620,"PAL","1389","247 Edwards Ln, Palm Beach Shores, FL 33404","Palm Beach Shores Town Hall","PAL1389",-80.03611,26.77847,"0","247 Edwards Ln Palm Beach Shores FL 33404"
"1215",1215,3621,"PAL","1390","165 N County Road, Palm Beach, FL 33480","St Edwards Church","PAL1390",-80.6243,28.0072,"68","NA New Ave Palm Bay FL 32907"
"1216",1216,3622,"PAL","1392","165 N County Road, Palm Beach, FL 33480","St Edwards Church","PAL1392",-80.6243,28.0072,"68","NA New Ave Palm Bay FL 32907"
"1217",1217,3623,"PAL","1394","340 Seaview Ave, Palm Beach, FL 33480","Morton & Barbara Mandel Center","PAL1394",-80.03967,26.707,"0","340 Seaview Ave Palm Beach FL 33480"
"1218",1218,3624,"PAL","2002","3777 N Jog Rd, West Palm Beach, FL 33411","Jeaga Middle","PAL2002",-80.13642,26.73464,"0","3777 Jog Rd West Palm Beach FL 33411"
"1219",1219,3625,"PAL","2004","3550 N Jog Rd, West Palm Beach, FL 33411","Grassy Waters Elementary","PAL2004",-80.14253,26.72872,"0","3550 Jog Rd West Palm Beach FL 33411"
"1220",1220,3626,"PAL","2006","3777 N Jog Rd, West Palm Beach, FL 33411","Jeaga Middle","PAL2006",-80.13642,26.73464,"0","3777 Jog Rd West Palm Beach FL 33411"
"1221",1221,3627,"PAL","2008","3777 N Jog Rd, West Palm Beach, FL 33411","Jeaga Middle","PAL2008",-80.13642,26.73464,"0","3777 Jog Rd West Palm Beach FL 33411"
"1222",1222,3628,"PAL","2010","3445 Cypress Trl, West Palm Beach, FL 33417","Cypress Lakes HOA","PAL2010",-80.12515,26.73287,"0","3445 Cypress Trl West Palm Beach FL 33417"
"1223",1223,3629,"PAL","2012","200 Century Blvd, West Palm Beach, FL 33417","Century Village Clubhouse","PAL2012",-80.12172,26.71493,"2","NA Century Blvd West Palm Beach FL 33417"
"1224",1224,3630,"PAL","2014","5200 Baywinds Dr, West Palm Beach, FL 33411","Club Baywinds","PAL2014",-80.19272,26.71291,"0","5200 Baywinds Dr West Palm Beach FL 33411"
"1225",1225,3631,"PAL","2016","2400 Victoria Point, West Palm Beach, FL 33411","Andros Isle POA Clubhouse","PAL2016",-80.17744,26.71388,"5","2402 Victoria Pt West Palm Beach FL 33411"
"1226",1226,3632,"PAL","2018","7459 Riverwalk Cir, West Palm Beach, FL 33411","Riverwalk Clubhouse","PAL2018",-80.16332,26.72122,"0","7459 Riverwalk Cir West Palm Beach FL 33411"
"1227",1227,3633,"PAL","2020","3777 N Jog Rd, West Palm Beach, FL 33411","Jeaga Middle","PAL2020",-80.13642,26.73464,"0","3777 Jog Rd West Palm Beach FL 33411"
"1228",1228,3634,"PAL","2021","3777 N Jog Rd, West Palm Beach, FL 33411","Jeaga Middle","PAL2021",-80.13642,26.73464,"0","3777 Jog Rd West Palm Beach FL 33411"
"1229",1229,3635,"PAL","2022","200 Century Blvd, West Palm Beach, FL 33417","Century Village Clubhouse","PAL2022",-80.12172,26.71493,"2","NA Century Blvd West Palm Beach FL 33417"
"1230",1230,3636,"PAL","2024","200 Century Blvd, West Palm Beach, FL 33417","Century Village Clubhouse","PAL2024",-80.12172,26.71493,"2","NA Century Blvd West Palm Beach FL 33417"
"1231",1231,3637,"PAL","2026","200 Century Blvd, West Palm Beach, FL 33417","Century Village Clubhouse","PAL2026",-80.12172,26.71493,"2","NA Century Blvd West Palm Beach FL 33417"
"1232",1232,3638,"PAL","2028","200 Century Blvd, West Palm Beach, FL 33417","Century Village Clubhouse","PAL2028",-80.12172,26.71493,"2","NA Century Blvd West Palm Beach FL 33417"
"1233",1233,3639,"PAL","2030","1765 Benoist Farms Rd, West Palm Beach, FL 33411","Benoist Farms Elementary","PAL2030",-80.16995,26.70688,"5","NA Benoist Farms Rd West Palm Beach FL 33411"
"1234",1234,3640,"PAL","2032","7459 Riverwalk Cir, West Palm Beach, FL 33411","Riverwalk Clubhouse","PAL2032",-80.16332,26.72122,"0","7459 Riverwalk Cir West Palm Beach FL 33411"
"1235",1235,3641,"PAL","2034","7459 Riverwalk Cir, West Palm Beach, FL 33411","Riverwalk Clubhouse","PAL2034",-80.16332,26.72122,"0","7459 Riverwalk Cir West Palm Beach FL 33411"
"1236",1236,3642,"PAL","2036","1950 Benoist Farms Rd, West Palm Beach, FL 33411","Turning Points Academy","PAL2036",-80.16997,26.70795,"0","1950 Benoist Farms Rd West Palm Beach FL 33411"
"1237",1237,3643,"PAL","2038","1950 Benoist Farms Rd, West Palm Beach, FL 33411","Turning Points Academy","PAL2038",-80.16997,26.70795,"0","1950 Benoist Farms Rd West Palm Beach FL 33411"
"1238",1238,3644,"PAL","2040","1167 Drexel Rd, West Palm Beach, FL 33417","Wynnebrook Elementary","PAL2040",-80.1363,26.69496,"0","1167 Drexel Rd West Palm Beach FL 33417"
"1239",1239,3645,"PAL","2041","1167 Drexel Rd, West Palm Beach, FL 33417","Wynnebrook Elementary","PAL2041",-80.1363,26.69496,"0","1167 Drexel Rd West Palm Beach FL 33417"
"1240",1240,3646,"PAL","2042","7459 Riverwalk Cir, West Palm Beach, FL 33411","Riverwalk Clubhouse","PAL2042",-80.16332,26.72122,"0","7459 Riverwalk Cir West Palm Beach FL 33411"
"1241",1241,3647,"PAL","2044","1063 Haverhill Rd N, West Palm Beach, FL 33417","St Christophers Episcopal Chr","PAL2044",-80.1199,26.69307,"16","1063 Haverhill Rd Haverhill FL 33417"
"1242",1242,3648,"PAL","2046","4585 Charlotte St, Haverhill, FL 33417","Haverhill Town Hall","PAL2046",-80.11271,26.69299,"0","4585 Charlotte St Haverhill FL 33417"
"1243",1243,3649,"PAL","2048","6188 Belvedere Rd, West Palm Beach, FL 33413","Elks Lodge #1352","PAL2048",-80.14352,26.69282,"23","6464 Belvedere Rd Lake Belvedere Estates FL 33413"
"1244",1244,3650,"PAL","2050","6188 Belvedere Rd, West Palm Beach, FL 33413","Elks Lodge #1352","PAL2050",-80.14352,26.69282,"23","6464 Belvedere Rd Lake Belvedere Estates FL 33413"
"1245",1245,3651,"PAL","2052","6188 Belvedere Rd, West Palm Beach, FL 33413","Elks Lodge #1352","PAL2052",-80.14352,26.69282,"23","6464 Belvedere Rd Lake Belvedere Estates FL 33413"
"1246",1246,3652,"PAL","2054","6188 Belvedere Rd, West Palm Beach, FL 33413","Elks Lodge #1352","PAL2054",-80.14352,26.69282,"23","6464 Belvedere Rd Lake Belvedere Estates FL 33413"
"1247",1247,3653,"PAL","2056","559 N Military Trl, West Palm Beach, FL 33415","Clayton Hutcheson Hall B","PAL2056",-80.11193,26.68595,"0","559 Military Trl West Palm Beach FL 33415"
"1248",1248,3654,"PAL","2058","559 N Military Trl, West Palm Beach, FL 33415","Clayton Hutcheson Hall B","PAL2058",-80.11193,26.68595,"0","559 Military Trl West Palm Beach FL 33415"
"1249",1249,3655,"PAL","2060","1545 Loxahatchee Dr, West Palm Beach, FL 33409","West Gate Elementary","PAL2060",-80.09053,26.70069,"9","1545 Loxahatchee Dr Westgate FL 33409"
"1250",1250,3656,"PAL","2062","3000 Parker Ave, West Palm Beach, FL 33405","Belvedere Elementary","PAL2062",-80.06253,26.68723,"0","3000 Parker Ave West Palm Beach FL 33405"
"1251",1251,3657,"PAL","2064","3000 Parker Ave, West Palm Beach, FL 33405","Belvedere Elementary","PAL2064",-80.06253,26.68723,"0","3000 Parker Ave West Palm Beach FL 33405"
"1252",1252,3658,"PAL","2066","1302 Parker Ave, West Palm Beach, FL 33401","Howard Park Community Center","PAL2066",-80.06143,26.70191,"0","1302 Parker Ave West Palm Beach FL 33401"
"1253",1253,3659,"PAL","2068","1003 Allendale Rd, West Palm Beach, FL 33405","Holy Spirit Episcopal","PAL2068",-80.06614,26.68703,"0","1003 Allendale Rd West Palm Beach FL 33405"
"1254",1254,3660,"PAL","2070","3000 Parker Ave, West Palm Beach, FL 33405","Belvedere Elementary","PAL2070",-80.06253,26.68723,"0","3000 Parker Ave West Palm Beach FL 33405"
"1255",1255,3661,"PAL","2072","3000 Parker Ave, West Palm Beach, FL 33405","Belvedere Elementary","PAL2072",-80.06253,26.68723,"0","3000 Parker Ave West Palm Beach FL 33405"
"1256",1256,3662,"PAL","2074","3000 Parker Ave, West Palm Beach, FL 33405","Belvedere Elementary","PAL2074",-80.06253,26.68723,"0","3000 Parker Ave West Palm Beach FL 33405"
"1257",1257,3663,"PAL","2076","110 Southern Blvd, West Palm Beach, FL 33405","St Catherine Church","PAL2076",-80.04876,26.67547,"0","110 Southern Blvd West Palm Beach FL 33405"
"1258",1258,3664,"PAL","2078","110 Southern Blvd, West Palm Beach, FL 33405","St Catherine Church","PAL2078",-80.04876,26.67547,"0","110 Southern Blvd West Palm Beach FL 33405"
"1259",1259,3665,"PAL","2080","407 Marginal Rd, West Palm Beach, FL 33411","Everglades Elementary","PAL2080",-80.17805,26.67128,"14","407 Marginal Rd Sunshine Parkway FL 33411"
"1260",1260,3666,"PAL","2081","407 Marginal Rd, West Palm Beach, FL 33411","Everglades Elementary","PAL2081",-80.17805,26.67128,"14","407 Marginal Rd Sunshine Parkway FL 33411"
"1261",1261,3667,"PAL","2082","6301 Summit Blvd, West Palm Beach, FL 33415","Pine Jog Environmental Center","PAL2082",-80.14083,26.66357,"12","6301 Summit Blvd Lake Worth FL 33415"
"1262",1262,3668,"PAL","2083","6301 Summit Blvd, West Palm Beach, FL 33415","Pine Jog Environmental Center","PAL2083",-80.14083,26.66357,"12","6301 Summit Blvd Lake Worth FL 33415"
"1263",1263,3669,"PAL","2084","521 Jog Rd, West Palm Beach, FL 33415","Community Christian Church","PAL2084",-80.14527,26.67144,"12","521 Jog Rd Lake Worth FL 33415"
"1264",1264,3670,"PAL","2085","521 Jog Rd, West Palm Beach, FL 33415","Community Christian Church","PAL2085",-80.14527,26.67144,"12","521 Jog Rd Lake Worth FL 33415"
"1265",1265,3671,"PAL","2086","521 Jog Rd, West Palm Beach, FL 33415","Community Christian Church","PAL2086",-80.14527,26.67144,"12","521 Jog Rd Lake Worth FL 33415"
"1266",1266,3672,"PAL","2087","521 Jog Rd, West Palm Beach, FL 33415","Community Christian Church","PAL2087",-80.14527,26.67144,"12","521 Jog Rd Lake Worth FL 33415"
"1267",1267,3673,"PAL","2088","5759 W Gun Club Rd, West Palm Beach, FL 33415","Melaleuca Elementary","PAL2088",-80.13303,26.67429,"14","5759 Gun Club Rd Lake Worth FL 33415"
"1268",1268,3674,"PAL","2090","6301 Summit Blvd, West Palm Beach, FL 33415","Pine Jog Environmental Center","PAL2090",-80.14083,26.66357,"12","6301 Summit Blvd Lake Worth FL 33415"
"1269",1269,3675,"PAL","2092","6301 Summit Blvd, West Palm Beach, FL 33415","Pine Jog Environmental Center","PAL2092",-80.14083,26.66357,"12","6301 Summit Blvd Lake Worth FL 33415"
"1270",1270,3676,"PAL","2094","6301 Summit Blvd, West Palm Beach, FL 33415","Pine Jog Environmental Center","PAL2094",-80.14083,26.66357,"12","6301 Summit Blvd Lake Worth FL 33415"
"1271",1271,3677,"PAL","2096","5601 Forest Hill Blvd, West Palm Beach, FL 33415","1st Church of the Nazarene","PAL2096",-80.13014,26.65222,"12","5601 Forest Hill Blvd Lake Worth FL 33415"
"1272",1272,3678,"PAL","2097","5601 Forest Hill Blvd, West Palm Beach, FL 33415","1st Church of the Nazarene","PAL2097",-80.13014,26.65222,"12","5601 Forest Hill Blvd Lake Worth FL 33415"
"1273",1273,3679,"PAL","2098","588 S Haverhill Rd, West Palm Beach, FL 33415","Iglesia Cristo Mi Redentor","PAL2098",-80.11989,26.68746,"16","588 Haverhill Rd Haverhill FL 33415"
"1274",1274,3680,"PAL","2100","588 S Haverhill Rd, West Palm Beach, FL 33415","Iglesia Cristo Mi Redentor","PAL2100",-80.11989,26.68746,"16","588 Haverhill Rd Haverhill FL 33415"
"1275",1275,3681,"PAL","2102","5088 Summit Blvd, West Palm Beach, FL 33415","Union Congregational Church","PAL2102",-80.12218,26.66279,"12","5088 Summit Blvd Lake Worth FL 33415"
"1276",1276,3682,"PAL","2104","3645 Gun Club Rd, West Palm Beach, FL 33406","Lake Lytal Park","PAL2104",-80.09883,26.67341,"12","3645 Gun Club Rd Lake Worth FL 33406"
"1277",1277,3683,"PAL","2106","3650 Summit Blvd, West Palm Beach, FL 33406","Main Library","PAL2106",-80.07168,26.66592,"7","NA Summit Blvd West Palm Beach FL 33406"
"1278",1278,3684,"PAL","2108","1060 S Kirk Rd, West Palm Beach, FL 33406","Berkshire Elementary","PAL2108",-80.10443,26.66163,"14","1060 Kirk Rd Pine Air FL 33406"
"1279",1279,3685,"PAL","2110","1060 S Kirk Rd, West Palm Beach, FL 33406","Berkshire Elementary","PAL2110",-80.10443,26.66163,"14","1060 Kirk Rd Pine Air FL 33406"
"1280",1280,3686,"PAL","2112","1560 Kirk Rd, West Palm Beach, FL 33406","Palm Springs Middle","PAL2112",-80.10422,26.65436,"12","1560 Kirk Rd Palm Springs FL 33406"
"1281",1281,3687,"PAL","2114","3650 Summit Blvd, West Palm Beach, FL 33406","Main Library","PAL2114",-80.07168,26.66592,"7","NA Summit Blvd West Palm Beach FL 33406"
"1282",1282,3688,"PAL","2115","3218 Melaleuca Dr, West Palm Beach, FL 33406","The Ark Church","PAL2115",-80.09222,26.65555,"22","3218 Melaleuca Rd Lake Worth FL 33406"
"1283",1283,3689,"PAL","2116","3218 Melaleuca Dr, West Palm Beach, FL 33406","The Ark Church","PAL2116",-80.09222,26.65555,"22","3218 Melaleuca Rd Lake Worth FL 33406"
"1284",1284,3690,"PAL","2117","3218 Melaleuca Dr, West Palm Beach, FL 33406","The Ark Church","PAL2117",-80.09222,26.65555,"22","3218 Melaleuca Rd Lake Worth FL 33406"
"1285",1285,3691,"PAL","2118","1560 Kirk Rd, West Palm Beach, FL 33406","Palm Springs Middle","PAL2118",-80.10422,26.65436,"12","1560 Kirk Rd Palm Springs FL 33406"
"1286",1286,3692,"PAL","2120","1560 Kirk Rd, West Palm Beach, FL 33406","Palm Springs Middle","PAL2120",-80.10422,26.65436,"12","1560 Kirk Rd Palm Springs FL 33406"
"1287",1287,3693,"PAL","2122","1560 Kirk Rd, West Palm Beach, FL 33406","Palm Springs Middle","PAL2122",-80.10422,26.65436,"12","1560 Kirk Rd Palm Springs FL 33406"
"1288",1288,3694,"PAL","2124","1560 Kirk Rd, West Palm Beach, FL 33406","Palm Springs Middle","PAL2124",-80.10422,26.65436,"12","1560 Kirk Rd Palm Springs FL 33406"
"1289",1289,3695,"PAL","2125","1317 Florida Mango Rd, West Palm Beach, FL 33406","St Marys Orthodox Church","PAL2125",-80.08021,26.6573,"15","1317 Florida Mango Rd Lake Clarke Shores FL 33406"
"1290",1290,3696,"PAL","2126","1317 Florida Mango Rd, West Palm Beach, FL 33406","St Marys Orthodox Church","PAL2126",-80.08021,26.6573,"15","1317 Florida Mango Rd Lake Clarke Shores FL 33406"
"1291",1291,3697,"PAL","2127","1701 Barbados Rd, Lake Clarke Shores, FL 33406","Lake Clarke Shores Town Hall","PAL2127",-80.07684,26.64988,"0","1701 Barbados Rd Lake Clarke Shores FL 33406"
"1292",1292,3698,"PAL","2128","1560 Kirk Rd, West Palm Beach, FL 33406","Palm Springs Middle","PAL2128",-80.10422,26.65436,"12","1560 Kirk Rd Palm Springs FL 33406"
"1293",1293,3699,"PAL","2130","100 Lang Rd, Cloud Lake, FL 33406","Cloud Lake Town Hall","PAL2130",-80.07421,26.67571,"0","100 Lang Rd Cloud Lake FL 33406"
"1294",1294,3700,"PAL","2132","100 Lang Rd, Cloud Lake, FL 33406","Cloud Lake Town Hall","PAL2132",-80.07421,26.67571,"0","100 Lang Rd Cloud Lake FL 33406"
"1295",1295,3701,"PAL","2134","4801 Dreher Trl N, West Palm Beach, FL 33405","STEM Bldg at S FL Science Ctr","PAL2134",-80.06768,26.66962,"0","4801 Dreher Trl West Palm Beach FL 33405"
"1296",1296,3702,"PAL","2136","845 Bradley St, West Palm Beach, FL 33405","Palmwood Lodge #303","PAL2136",-80.06206,26.67099,"0","845 Bradley St West Palm Beach FL 33405"
"1297",1297,3703,"PAL","2138","845 Bradley St, West Palm Beach, FL 33405","Palmwood Lodge #303","PAL2138",-80.06206,26.67099,"0","845 Bradley St West Palm Beach FL 33405"
"1298",1298,3704,"PAL","2140","345 Summa St, West Palm Beach, FL 33405","South Olive Community Center","PAL2140",-80.05387,26.65048,"0","345 Summa St West Palm Beach FL 33405"
"1299",1299,3705,"PAL","2142","4601 S Flagler Dr, West Palm Beach, FL 33405","Lakeside Presbyterian Church","PAL2142",-80.04798,26.67141,"0","4601 Flagler Dr West Palm Beach FL 33405"
"1300",1300,3706,"PAL","2144","4601 S Flagler Dr, West Palm Beach, FL 33405","Lakeside Presbyterian Church","PAL2144",-80.04798,26.67141,"0","4601 Flagler Dr West Palm Beach FL 33405"
"1301",1301,3707,"PAL","2146","2500 Village Walk Cir, Wellington, FL 33414","Village Walk HOA Clubhouse","PAL2146",-80.18176,26.64269,"10","2500 Villagewalk Cir Wellington FL 33414"
"1302",1302,3708,"PAL","2148","6601 Constitution Way, Greenacres, FL 33413","Liberty Park Elementary","PAL2148",-80.14633,26.63369,"0","6601 Constitution Way Greenacres FL 33413"
"1303",1303,3709,"PAL","2150","100 River Bridge Blvd, Greenacres, FL 33413","River Bridge Activities Center","PAL2150",-80.15018,26.6475,"0","100 River Bridge Blvd Greenacres FL 33413"
"1304",1304,3710,"PAL","2152","600 Sea Pine Way, Greenacres, FL 33415","Pine Ridge North II","PAL2152",-80.13907,26.641,"5","604 Sea Pine Way Greenacres FL 33415"
"1305",1305,3711,"PAL","2154","5555 Purdy Ln, West Palm Beach, FL 33415","Forest Hill Elementary","PAL2154",-80.12984,26.64488,"12","5555 Purdy Ln Lake Worth FL 33415"
"1306",1306,3712,"PAL","2156","2530 Emory Dr E, West Palm Beach, FL 33415","Cresthaven Emory Aud","PAL2156",-80.13207,26.63707,"14","2530 Emory Dr Lake Worth FL 33415"
"1307",1307,3713,"PAL","2158","2341 S Military Trl, West Palm Beach, FL 33415","Community Of Hope","PAL2158",-80.11269,26.64219,"12","2341 Military Trl Lake Worth FL 33415"
"1308",1308,3714,"PAL","2160","2605 Barkley Dr E, West Palm Beach, FL 33415","Cresthaven Barkley Aud","PAL2160",-80.12254,26.63915,"12","2605 Barkley Dr Lake Worth FL 33415"
"1309",1309,3715,"PAL","2162","2885 Ashley Dr E, West Palm Beach, FL 33415","Cresthaven Ashley Aud","PAL2162",-80.11834,26.63545,"12","2885 Ashley Dr Lake Worth FL 33415"
"1310",1310,3716,"PAL","2164","7290 Covered Bridge Blvd, Lake Worth, FL 33467","Covered Bridge Clubhouse","PAL2164",-80.16181,26.6222,"0","7290 Covered Bridge Blvd Lake Worth FL 33467"
"1311",1311,3717,"PAL","2166","3536 Via Poinciana, Lake Worth, FL 33467","Poinciana Clubhouse","PAL2166",-80.15295,26.62418,"10","3536 Via Poinciana Dr Lake Worth FL 33467"
"1312",1312,3718,"PAL","2168","201 Swain Blvd, Greenacres, FL 33463","First Baptist Church GA","PAL2168",-80.12534,26.62123,"0","201 Swain Blvd Greenacres FL 33463"
"1313",1313,3719,"PAL","2170","6601 Constitution Way, Greenacres, FL 33413","Liberty Park Elementary","PAL2170",-80.14633,26.63369,"0","6601 Constitution Way Greenacres FL 33413"
"1314",1314,3720,"PAL","2172","201 Swain Blvd, Greenacres, FL 33463","First Baptist Church GA","PAL2172",-80.12534,26.62123,"0","201 Swain Blvd Greenacres FL 33463"
"1315",1315,3721,"PAL","2174","201 Swain Blvd, Greenacres, FL 33463","First Baptist Church GA","PAL2174",-80.12534,26.62123,"0","201 Swain Blvd Greenacres FL 33463"
"1316",1316,3722,"PAL","2182","501 Swain Blvd, Greenacres, FL 33463","Greenacres Community Center","PAL2182",-80.12503,26.62878,"0","501 Swain Blvd Greenacres FL 33463"
"1317",1317,3723,"PAL","2184","4725 Lake Worth Rd, Greenacres, FL 33463","American Polish Club","PAL2184",-80.11705,26.61867,"0","4725 Lake Worth Rd Greenacres FL 33463"
"1318",1318,3724,"PAL","2186","4725 Lake Worth Rd, Greenacres, FL 33463","American Polish Club","PAL2186",-80.11705,26.61867,"0","4725 Lake Worth Rd Greenacres FL 33463"
"1319",1319,3725,"PAL","2188","165 Ohio Rd, Lake Worth, FL 33467","St Lukes United Methodist Chr","PAL2188",-80.16486,26.61067,"0","165 Ohio Rd Lake Worth FL 33467"
"1320",1320,3726,"PAL","2190","4580 Lucerne Lakes Blvd, Lake Worth, FL 33467","Lucerne Pointe Clubhouse","PAL2190",-80.1618,26.61078,"0","4580 Lucerne Lakes Blvd Lake Worth FL 33467"
"1321",1321,3727,"PAL","2192","4615 Fountains Dr, Lake Worth, FL 33467","Fountains Of Palm Beach","PAL2192",-80.15223,26.61056,"0","4615 Fountains Dr Lake Worth FL 33467"
"1322",1322,3728,"PAL","2194","5332 Lake Worth Rd, Greenacres, FL 33463","LC Swain Middle","PAL2194",-80.12766,26.61889,"0","5332 Lake Worth Rd Greenacres FL 33463"
"1323",1323,3729,"PAL","2196","400 Pine Glen Ln, Greenacres, FL 33463","Pine Ridge South IV Clubhouse","PAL2196",-80.14417,26.60779,"5","422 Pine Glen Ln Greenacres FL 33463"
"1324",1324,3730,"PAL","2198","908 Lehto Ln, Lake Worth, FL 33461","American Finnish Club","PAL2198",-80.10821,26.608,"0","908 Lehto Ln Lake Worth FL 33461"
"1325",1325,3731,"PAL","2202","5332 Lake Worth Rd, Greenacres, FL 33463","LC Swain Middle","PAL2202",-80.12766,26.61889,"0","5332 Lake Worth Rd Greenacres FL 33463"
"1326",1326,3732,"PAL","2204","5100 Melaleuca Ln, Greenacres, FL 33463","Heritage Elementary","PAL2204",-80.12296,26.60775,"0","5100 Melaleuca Ln Greenacres FL 33463"
"1327",1327,3733,"PAL","2206","5100 Melaleuca Ln, Greenacres, FL 33463","Heritage Elementary","PAL2206",-80.12296,26.60775,"0","5100 Melaleuca Ln Greenacres FL 33463"
"1328",1328,3734,"PAL","2208","908 Lehto Ln, Lake Worth, FL 33461","American Finnish Club","PAL2208",-80.10821,26.608,"0","908 Lehto Ln Lake Worth FL 33461"
"1329",1329,3735,"PAL","2210","4725 Lake Worth Rd, Greenacres, FL 33463","American Polish Club","PAL2210",-80.11705,26.61867,"0","4725 Lake Worth Rd Greenacres FL 33463"
"1330",1330,3736,"PAL","2212","4725 Lake Worth Rd, Greenacres, FL 33463","American Polish Club","PAL2212",-80.11705,26.61867,"0","4725 Lake Worth Rd Greenacres FL 33463"
"1331",1331,3737,"PAL","2214","6000 Oak Royal Dr, Lake Worth, FL 33463","Indian Pines Elementary","PAL2214",-80.13747,26.59111,"0","6000 Oak Royal Dr Lake Worth FL 33463"
"1332",1332,3738,"PAL","2216","6000 Oak Royal Dr, Lake Worth, FL 33463","Indian Pines Elementary","PAL2216",-80.13747,26.59111,"0","6000 Oak Royal Dr Lake Worth FL 33463"
"1333",1333,3739,"PAL","2218","5090 Haverhill Rd S, Greenacres, FL 33463","Tradewinds Middle","PAL2218",-80.12221,26.60216,"2","5090 Haverhill Rd Greenacres FL 33463"
"1334",1334,3740,"PAL","3002","1560 Kirk Rd, West Palm Beach, FL 33406","Palm Springs Middle","PAL3002",-80.10422,26.65436,"12","1560 Kirk Rd Palm Springs FL 33406"
"1335",1335,3741,"PAL","3004","2341 S Military Trl, West Palm Beach, FL 33415","Community Of Hope","PAL3004",-80.11269,26.64219,"12","2341 Military Trl Lake Worth FL 33415"
"1336",1336,3742,"PAL","3006","275 Alemeda Dr, Palm Springs, FL 33461","Faith Presbyterian","PAL3006",-80.0952,26.64279,"0","275 Alemeda Dr Palm Springs FL 33461"
